S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
582,La Opala RG,175.83,105.51,1951.71,37.01,18.91,2.43,28.22,10.93,10.02,14.01,12.81,0.94,4.21,0.67,2.25,15.43
583,India Nipp.Elec.,785.25,742.88,1776.35,10.9,18.06,2.26,0.66,12.33,9.27,10.59,9.96,14.27,12.03,27.28,12.56,15.43
584,Patel Engineerin,27.7,58.72,2748.23,12.98,7.25,0.7,0.13,10.4,3.88,8.44,5.67,14.64,14.24,57.63,178.98,15.43
585,Vintage Coffee,129.36,146.96,1884.63,17.94,28.21,3.58,0.39,17.05,11.48,11.67,,103.54,,72.58,,15.42
586,Signpost India,261.58,166.95,1398.15,22.19,28,5.58,,16.66,6.59,21.68,,,,,,15.41
587,CEAT,3476.2,2162.99,14061.26,12.38,22.57,3.08,0.28,11.77,4.66,12.3,10.98,12.18,14.29,79.35,14.63,15.4
588,Firstsour.Solu.,209.27,163.77,14795.97,15.97,21.05,3.39,6.86,15.03,8.56,15.15,15.94,10.46,14.26,3.07,11.84,15.37
589,eMudhra,500.85,434.24,4147.62,23.17,40.38,5.1,1.5,12.08,10.78,14.81,16.25,41.68,34.86,26.92,38.43,15.32
590,Updater Services,158.61,325.61,1061.95,4.38,11,1.05,0.39,13.17,7.65,11.86,13.35,22.65,15.62,28.29,23.53,15.32
591,Punjab Chemicals,1035.4,842.41,1269.4,11.3,19.82,3.18,-0.96,12.02,5.8,17.23,23.81,-1.19,10.38,-20.68,43.64,15.28
592,Sarda Energy,581.4,455.57,20487.45,30.14,19.53,2.93,-3.67,13.44,8.51,15.05,17.94,5.86,18.34,-5.32,39.67,15.27
593,Happiest Minds,361.15,416.84,5499.4,17.01,26.55,3.38,21.24,12.61,6.93,19.38,22.89,23.52,24.17,1.25,18.43,15.25
594,TVS Holdings,14223,9609.79,28776.12,15.85,18.36,5.21,0.5,30.2,4.78,23.17,18.82,20.67,17.73,36.64,25.93,15.22
595,Latent View,289.15,288.34,5983.24,22.28,30.09,3.68,2.06,11.58,10.21,12.44,13.65,27.63,22.26,14.63,19.8,15.22
596,Guj.St.Petronet,276.79,310.94,15616.81,15.38,14.84,1.31,-1.21,9.89,8.22,14.57,17.81,-1.16,7.25,-12.26,-8.47,15.16
597,Bata India,737.4,142.29,9477.62,21.11,49.37,6.22,1.49,15.59,6.74,18.39,10.6,13.47,2.68,33.11,-6.09,15.14
598,Granules India,689.45,457.35,17084.36,21.31,31.44,4.2,6.36,13.86,8.21,15.26,17.44,5.98,11.52,4.94,8.8,15.14
599,Goodluck India,1189.35,946.46,3953.22,8.98,23.52,2.82,0.78,13.64,7.27,14.68,14.36,14.63,19.2,30.24,37.35,15.1
600,Go Fashion (I),280.21,252.32,1513.39,29.51,21.28,2.04,0.55,14.32,7.65,15.12,12.68,28.33,16.69,38.5,12.08,15.09
601,Morepen Labs.,41.72,49.8,2286.06,8.03,29.94,1.91,5.88,11.78,7.68,10.25,13.59,5.41,16.26,5.09,28.58,15.08
602,Aptus Value Hou.,257.46,350.7,12892.12,83.52,14.5,2.77,0.54,18.58,7.42,17.4,16.67,29.04,28.46,26.61,28.91,15.05
603,Butterfly Gan Ap,608.4,396,1087.82,8.43,24.5,3.12,1.6,10.05,6.46,10.56,11.34,-3.43,5.03,15.29,50.78,15.04
604,Genesys Intl.,261.74,344.61,1093.82,39.34,25.33,1.6,-7.65,10.76,7.94,7.49,8.46,37.51,22.71,-3.31,98.37,15.03
605,Kalyan Jewellers,405.3,193.98,41856.96,6.81,36.19,7.84,0.76,15.95,5.13,15.01,11.55,32.29,19.91,47.4,38.25,15.02
606,Datamatics Glob.,707.4,427.95,4181.19,17.08,19.19,2.87,5.59,12.49,9.22,15.74,15.56,12.79,7.45,3.43,17.2,15.01
607,Krishna Institu.,651.2,201.73,26057.05,21.88,88.82,11.48,28.84,18.48,8.32,19.01,21.59,22.51,22.01,3.08,25.01,15
608,JNK,350.83,377.37,1963.03,9.95,42.24,3.79,-7.45,8.63,4.63,22.88,27.72,17.86,35.91,-5.67,28.15,14.93
609,Cohance Life,360.1,260.35,13776.24,22.39,45.81,3.64,-2.83,12.67,8.86,16.75,21.47,-3.2,7.51,-16.2,-5.33,14.89
610,Artemis Medicare,234.11,119.01,3706.11,16.68,37.27,4.18,1.03,12.92,7.29,11.73,9.94,18.79,10.15,36.36,32.46,14.88
611,Atul,6680.5,3992,19668.56,16.43,29.01,3.16,3.39,11.47,9.27,9.22,10.5,4.95,10.95,8.57,1.22,14.87
612,ISGEC Heavy,1055.1,400.1,7758.1,9.41,23.69,2.78,0.75,9.37,3.3,9.41,9.24,5.31,1.77,31.69,11.59,14.83
613,Balmer Lawrie,180.51,169.57,3086.79,12.84,11.55,1.59,0.46,13.97,8.73,12.79,11.09,6.89,10.34,25.06,10.44,14.82
614,Dilip Buildcon,455.05,540.52,7392.05,20.8,11.32,1.28,0.26,9.97,3.39,1.95,0.07,5.77,3.13,43.61,8.08,14.77
615,Angel One,314.52,352.81,28648.34,35.39,31.31,4.68,25.66,15.59,4.49,25.1,29.45,19.6,31.86,1.22,25.02,14.76
616,Navneet Educat.,143.29,132.93,3169.76,17.33,18.11,1.63,0.21,12.58,10.17,14.27,10.7,17,3.55,85.86,0.1,14.75
617,CIE Automotive,457.2,276.77,17344.45,14.66,20.05,2.33,0.16,11.8,8.08,14.75,10.65,2.43,9.23,127.47,53.77,14.74
618,Diffusion Eng,302.89,289.21,1133.6,13.75,23.67,2.94,0.87,11.84,9.23,14.55,14.11,17.89,16.82,27.26,24.35,14.73
619,Ipca Labs.,1555.9,753.41,39473.84,20.24,37.38,5.31,-25.26,12.75,7.89,10.31,14.17,15.35,14.01,-1.48,7.24,14.72
620,Dolphin Offshore,411.75,309.3,1647.19,78.08,32.51,5.45,0.44,18.69,13.4,7.91,,,,73.6,,14.69
621,Tata Comm,1520.6,329.04,43337.1,19.44,39.4,12.57,-2.81,34.01,3.99,48.06,74.25,11.61,7.72,-14.03,-2.85,14.69
622,Strides Pharma,1066.25,657.18,9827.92,19.1,17.89,3.57,0.11,150.67,60.15,50.44,28.46,14.14,10.65,157.16,124.04,14.68
623,Metropolis Healt,467.1,155.92,9684.28,22.67,55.39,6.76,-4.76,11.53,8.24,12.84,17.27,2.72,9.22,-11.63,-0.56,14.66
624,Innova Captab,721.15,531.83,4126.78,14.77,31.17,4.04,1.19,14.34,8.9,17.09,19.41,15.82,27.21,26.15,35.71,14.63
625,SMC Global Sec.,65.93,110.36,1380.57,19.63,16.31,1.1,-2.87,12.65,3.05,14.62,15.66,16.73,17.91,-5.68,44.07,14.6
626,Divine Power,440.25,124.05,1099.09,5.41,117.05,10.26,1,16.41,6.72,19.5,16.77,40.77,,116.79,,14.57
627,Motisons Jewel,13.8,10.68,1382.43,20.38,20.78,3.08,0.48,11.64,8.78,13.4,13.08,13.71,16.11,43.02,68.68,14.51
628,Amber Enterp.,7753.5,1957.63,27285.86,7.23,117.39,7.48,3.89,11.28,3.37,9,8.15,33.34,20.27,30.14,8.93,14.49
629,HPL Electric,352.55,249.03,2266.91,15.58,22.4,2.37,0.17,10.82,4.77,6.85,4.69,18.8,11.73,129.65,33.46,14.48
630,Welspun Living,130.16,51.74,12484.33,8.89,53.55,2.59,28.48,13.66,6.51,11.62,13.18,4.23,9.36,1.88,6.39,14.41
631,Optiemus Infra.,402.9,165.98,3573.27,6.54,54.14,4.98,0.17,11.59,4.37,12.38,10.64,58.84,41.49,313.64,22.38,14.4
632,Hindustan Foods,486.6,296.94,5813.98,8.43,42.59,5.59,1.25,13.97,4.87,16.79,16.83,20.44,35.8,34,37.42,14.34
633,Bharat Rasayan,1393.6,1083.17,2316.31,15.25,16.32,1.97,-1.23,11.09,8.99,11.6,15.88,-3.45,-0.71,-13.22,-6.27,14.33
634,GNA Axles,429.3,308.65,1843.02,15.99,16.51,1.96,2.61,12.54,8.26,14.88,15.02,6.62,11.13,6.33,15.14,14.31
635,Belrise Industri,212.76,108.14,18933.07,12.35,39.34,3.81,3.69,14.09,5.35,14.61,,15.39,,10.67,,14.3
636,Kaynes Tech,4266.8,2853.41,28602.35,16.28,73.26,6.11,0.81,10.74,7.24,11.33,11.67,56.8,49.23,90.1,95.23,14.28
637,S P Apparels,781.05,1032.44,1963.47,13.82,17.3,2.18,4.63,11.69,7.29,11.87,11.65,17.55,11.55,3.74,11.46,14.25
638,JBM Auto,612.85,162.2,14493.55,10.69,66.87,10.23,7.32,16.07,4.02,15.1,14.52,19.67,22.96,9.13,24.03,14.2
639,Rashi Peripheral,460.65,963.67,3035.67,2.93,12.5,1.64,3.02,12.52,5.14,13.58,18.37,13.93,28.48,4.14,39.06,14.19
640,TruAlt Bioenergy,488.55,676,4189.44,15.93,28.34,2.99,,28.37,5.38,21.18,,,,,,14.18
641,Parag Milk Foods,225.19,119.13,2817.34,6.84,20.99,2.34,0.69,12.34,6.1,10.57,-5.86,18.33,7.08,30.55,4.72,14.13
642,Brigade Hotel,67.6,36.79,2567.74,33.61,54.88,2.8,,,2.59,,,,,,,14.13
643,KDDL Ltd,2510.2,1977.61,3087.37,14.4,36.69,2.95,0.84,11.51,7.66,14.14,13.23,26.39,20.36,43.63,175.26,14.12
644,Shanti Educat.,180.35,13.47,2903.64,9.5,653.97,38.14,,10.48,8.77,7.42,,,,,,14.11
645,Nephrocare Health Services,533.55,,5353.68,22.05,68.07,,0.94,13.43,7.39,7.01,3.74,33.5,,72.34,,14.11
646,Filatex India,41.41,50.67,1838.85,7.33,9.94,1.31,-0.42,10.61,6.15,9.53,15.68,3.56,8.85,-23.58,2.06,14.08
647,G M D C,669.85,548.76,21301.23,20.29,33.3,3.17,2.2,10.87,9,14.18,12.72,1.43,14.49,15.13,35.99,14.06
648,Sai Life,1024.95,206.48,21706.31,28.21,64,9.54,0.28,11.05,6.34,7.86,6.33,24.91,18.49,229.44,17.57,14.05
649,Vaibhav Global,215.03,208.6,3592.46,9.35,17.18,2.48,-1.63,11.72,7.79,10.58,15.65,7.08,11.21,-10.53,-4.19,14.03
650,A C J K Exports,133.67,,1384.17,8.19,18.03,,0.3,17.37,4.23,11.65,9.43,17.79,,60.41,,14.02
651,J K Cements,5584.5,2456.48,43150.45,18.31,41.06,6.66,10.37,13.87,5.11,13.29,15.33,14.13,15.41,3.96,8.94,13.99
652,Yatharth Hospit.,718.3,664.26,6921.13,23.89,41.36,4.1,0.96,10.43,9.4,16.13,17.91,31.89,44.6,43.05,151.91,13.99
653,Apollo Micro Sys,283.9,59.97,10143.53,24.13,113.59,9.4,1.99,10.02,5,7.94,6.73,32.22,17.98,56.98,32.12,13.98
654,Arfin India,95.16,7.62,1605.56,6.06,189.11,10.04,-1260.73,7.23,2.91,9.16,9.04,5.38,11.42,-0.15,19.36,13.97
655,G R Infraproject,866.45,1681.88,8383.82,22,7.82,0.94,1.41,12.15,7.02,17.08,18.63,-4.38,3.02,5.53,4.11,13.95
656,Sambhv Steel,118.14,122.37,3481.25,10.45,33.49,3.56,-4.76,12.41,4.88,20.69,26.33,22.64,,-7.03,,13.92
657,PNC Infratech,217.26,449.19,5573.57,22.4,13.55,0.84,1.16,13.89,4.61,16.17,16.33,-2.07,3.85,11.73,7.77,13.89
658,United Breweries,1477.1,230.38,39055.28,9.16,92.97,8.99,11.68,10.77,6.03,9.73,8.57,15.15,6.49,7.96,1.46,13.88
659,Container Corpn.,502.8,196.56,38294.15,21.56,29.97,2.99,4.08,10.79,9.18,10.75,9.66,5.11,6.36,7.35,7.1,13.87
660,GE Shipping Co,1404.4,1532.88,20050.22,52.88,8.87,1.32,0.19,14.09,10.9,19.86,16.64,14.9,7.62,47.03,85.12,13.86
661,Bosch Home Comfort,1366.7,111.65,3716.06,3.43,115.19,7.79,2.14,9.96,3.53,-2.78,-0.25,8.48,4.64,53.85,-6.49,13.83
662,Jindal Photo,1092.7,1733.61,1120.93,-820.14,92.64,1.06,-3.18,13.99,13.36,11.66,19.52,139.09,80.05,-29.09,132.85,13.8
663,AXISCADES Tech.,1939.8,426.34,8247.52,15.72,75.17,11.9,1.52,12.67,6.96,5.56,6.48,19.09,8.9,49.46,21.31,13.76
664,Aeroflex Enter.,92.22,112.74,1042.87,17.15,20.26,1.43,1.24,7.66,8.41,11,11.18,18.61,20.75,16.38,205.8,13.76
665,Ethos,2639.7,1162.47,7063.23,13.23,72.63,4.93,1.21,10.36,7.49,11.3,10.85,29.43,22.28,60.1,120.26,13.75
666,Thangamayil Jew.,3799.3,1429.34,11808.99,5.98,48.78,10.12,1.07,14.88,5.88,20.17,20.63,30.83,23.75,45.49,21.06,13.74
667,Paradeep Phosph.,133.67,196.1,13877.23,9.97,13.43,2.16,1.31,14.14,5.19,9.5,11.47,20.7,26.94,10.22,21.99,13.72
668,Kirloskar Oil,1591.1,610.93,23128.1,18.44,42.55,6.86,1.1,15.4,4.59,15.98,13.75,16.44,13.44,38.52,22.96,13.68
669,Escorts Kubota,3231.3,3335.41,36151.06,12.74,27.75,3.04,1.37,12.8,9.92,11.33,12.46,12.04,12.01,20.31,21.49,13.59
670,5paisa Capital,325.56,212.58,1526.3,31.52,35.25,2.43,0.53,11.89,3.67,10.89,10.2,6.53,27.17,66.15,60.41,13.55
671,Orkla India,647.75,1232.83,8873.48,16.55,34.07,3.39,1.11,9.8,7.88,11.14,10.28,9.23,23.91,30.63,28.44,13.55
672,Indo Count Inds.,263.29,196.69,5214.57,9.44,45.87,2.26,-3.95,11.3,6.3,14.84,17.57,13.46,14.82,-11.61,9.94,13.52
673,Syngene Intl.,421.2,158.43,16971.81,25.77,41.47,3.58,9.76,10.53,7.31,12.32,12.97,11.83,12.6,4.25,5.71,13.52
674,GRM Overseas,165.57,44.86,3430.78,6.35,46.76,6.41,-4.53,16.03,7.29,19.91,25.97,5.9,12.44,-10.32,13.84,13.5
675,Bharat Wire,223.91,121.34,1535.68,22.26,20.03,1.98,0.27,22.91,8.08,34.62,29.48,14.68,19.17,74.3,26.09,13.38
676,Sansera Enginee.,2530.7,949.57,15774.37,17.14,57.64,5.47,3.17,10.5,6.65,12.42,12.7,14.89,15.67,18.2,21.82,13.38
677,Electrost.Cast.,79.29,170.56,4901.59,7.46,13.92,0.83,0.5,13.15,7.62,12.4,10.81,11.5,21.98,27.81,31.82,13.36
678,Brigade Enterpr.,775.5,448.45,18968.22,25.93,25.01,2.93,0.54,14.92,3.39,12.7,9.94,19.16,14.03,46.58,36.56,13.34
679,Arman Financial,1489.2,1150.81,1565.58,37.95,55.22,1.8,3.07,6.17,2.14,18.58,17.24,45.91,27.81,17.96,4.63,13.31
680,Avishkar Infra,608.35,,1362.9,72,787.8,101.48,,148.05,9.77,,,,,,,13.28
681,Edelweiss.Fin.,119.07,82.56,11270.35,30.91,19.04,2.55,0.67,8.68,1.28,6.85,5.41,9.6,-0.21,28.31,17.03,13.27
682,Rajratan Global,419.05,198.93,2127.56,12.1,30.35,3.27,-2.69,11.59,6.62,12.55,18.73,8.9,16.17,-11.29,5.7,13.27
683,Sula Vineyards,171.8,80.52,1450.8,19.06,46.59,2.56,4.55,12.3,6.65,15.72,13.76,10.92,3.6,10.23,51.03,13.25
684,BCL Industries,33.95,108.69,1002.08,8.07,8.55,1.17,2.13,12.99,7.16,14.64,16.46,12.3,25.25,4.02,29.51,13.24
685,Aegis Logistics,714.5,236.55,25078.95,16.61,32.59,4.22,1.43,15.53,8.27,15.49,15.38,13.46,-1.2,22.78,46.02,13.2
686,Nitin Spinners,412.45,559.35,2318.79,13.85,13.92,1.69,-0.74,14.28,6.44,14.41,19.23,7.05,18.1,-18.91,49.28,13.19
687,GMR Urban,106,139.73,8278.79,19.82,,5.38,,,-1.73,,,15.65,,16.64,,13.18
688,Western Carriers,101.3,89.28,1032.81,5.02,23.13,1.22,10.81,10.62,7.01,17.23,19.43,5.47,10.09,2.14,12.68,13.16
689,Gufic BioScience,298.3,64.26,2991.43,14.54,59.79,4.74,,12.27,6.15,,,,,,,13.15
690,CCL Products,1098.8,462.31,14672.05,17.31,39.08,7.03,2.62,17.05,7.98,17.66,17.69,28.55,22.21,14.94,13.33,13.14
691,Paisalo Digital,46.46,40.5,4225.64,76.08,20,2.54,0.55,13.94,4.26,12.6,11.07,24.95,15.33,36.07,29.84,13.13
692,Hatsun Agro,991.2,200.52,22078.81,12.56,57.34,11.88,6.09,17.05,5.88,15.77,17.96,10.81,10.3,9.41,20.14,13.12
693,Advanced Enzyme,299.05,169.65,3347.17,29.8,23.24,2.25,7.04,9.54,8.54,10.06,11.28,6.36,7.48,3.3,0.26,13.11
694,Aarti Drugs,366.7,347.16,3346.87,12.16,16.52,2.28,-2.58,12.69,6.71,13.76,18.24,-1.38,5.74,-6.4,4.03,13.09
695,GMM Pfaudler,908.6,279.98,4084.81,12.13,36.49,3.47,-4.56,6.64,1.99,15.91,17.21,7.98,40.17,-8.01,-1.7,13.09
696,Jubilant Food.,491.95,100.07,32461.08,19.53,98.07,14.98,-4.91,10.36,2.77,13.72,16.59,22.8,15.7,-19.96,-6.03,13.08
697,Just Dial,527.4,706.94,4485.26,29.45,8.73,0.88,0.07,10.58,8.89,7.07,4.99,12.84,12.45,122.67,30.42,13.06
698,Alembic Pharma,751.05,404.14,14762.87,15.96,22.25,2.78,7,11.38,7.99,10.61,13.45,7.94,7.69,3.18,-7.96,13.05
699,Arvind Ltd,382.5,159.26,10025.88,10.49,23.83,2.61,1.92,9.32,4.65,10.07,8.02,1.31,2.48,12.43,21.7,13.04
700,India Pesticides,148.96,310.65,1715.48,16.54,15.2,1.78,-0.81,9.73,7.88,12.2,18.12,5,11.57,-18.85,3.53,13.04
701,Kansai Nerolac,197.15,92.08,15942.7,11.67,25.81,2.46,1.2,10.41,7.57,11.36,11.19,7.09,8.18,21.53,3.97,13.03
702,One Point One,53.57,31.95,1408.55,22.25,37.46,3.31,0.37,10.15,7.34,13.68,9.1,24.86,15.46,101.49,90.43,13.02
703,Goodyear India,784.6,348.19,1810.07,4.65,31.93,3.15,-1.7,9.31,4.55,14.78,14.62,2.31,8.36,-18.78,-9.1,13.01
704,JTL Industries,81.39,103.76,3109.44,5.82,39.58,2.49,2.34,9.8,9.05,15.87,18,12.15,52.77,16.93,57.48,13.01
705,K C P,176.3,273.83,2272.88,12.95,14.62,1.39,-2.96,10.97,9.38,9.81,12.39,6.25,12.18,-4.94,42.72,12.99
706,Zaggle Prepaid,256.26,803.48,3445.63,9.71,27.12,2.63,0.98,9.6,8.73,12.39,,51.96,80.32,27.78,88.05,12.99
707,Lemon Tree Hotel,117.34,38.2,9296.22,48.27,38.72,7.52,0.63,18.45,6,16.3,5.27,47.32,13.95,61.92,206.78,12.98
708,AWFIS Space,349.34,195.09,2499.2,36.12,42.6,5.01,1.03,26.07,2.44,,,67.48,39.77,41.3,23.06,12.9
709,Kapston Services,338.9,133.45,1031.35,4.96,38.86,10.13,0.42,22.19,7.05,17.59,14.7,36.26,26.41,93.16,10.86,12.85
710,Salzer Electron.,622.3,648.13,1100.4,8.52,21.11,1.98,0.63,10.57,4.93,10.04,8.83,20.85,19.52,33.72,14.8,12.84
711,AVT Natural Prod,67.15,59.98,1022.69,12.19,17.9,1.95,-1.4,9.89,7.17,13.26,14.99,-0.2,7,-12.8,7.46,12.84
712,Jindal Poly Inve,1078.1,5080.19,1133.08,87.74,1.27,0.69,-0.06,14.17,13.79,12.49,,-76.61,98.43,-20.97,38.8,12.83
713,Honda India,2244.2,1084.33,2275.62,10.94,27.7,2.99,13.07,9.47,7.73,11.43,10.94,-11.77,-1.32,2.12,4.72,12.81
714,Apcotex Industri,394.15,306.89,2043.47,11.57,24.54,3.52,-1.34,9.99,5.59,14.62,17.03,13.32,22.93,-18.34,27.36,12.81
715,Archean Chemical,603.3,225.37,7448.24,25.17,50.86,3.91,-22.31,9.8,7.86,20.41,,-2.71,11.35,-2.28,46.81,12.81
716,JK Tyre & Indust,397.3,242.98,11453.74,11.71,15.71,2.19,0.44,11.07,3.74,13.86,12.54,7.03,10.99,35.37,12.15,12.78
717,Monte Carlo Fas.,543.7,548.41,1127.2,17.26,11.69,1.35,-1.01,9.78,4.92,11.71,12.8,6.76,8.69,-11.58,4.94,12.77
718,Avalon Tech,1040.65,224.37,6948.02,10.76,72.32,10.69,10.1,10.35,6.12,9.52,13.21,9.31,11.34,7.16,39.01,12.76
719,Zuari Agro Chem.,245.17,1149.65,1031.14,8.99,3.1,0.41,0.49,9.06,4.58,7.78,6.39,7.31,7.84,6.34,17.08,12.71
720,RattanIndia Ent,34.25,,4734.27,-4.53,,4.58,,9.59,3.04,25.09,19.35,688.81,,75.58,20.61,12.7
721,Aye Finance,134.87,,3328.38,46.14,17.42,,0.22,11.98,3.05,12.41,7.88,50.07,,79.12,,12.7
722,Team Lease Serv.,1208.6,1520.36,2026.69,1.35,14.93,2.11,5.95,12.18,5.17,13.15,13.34,19.85,16.49,2.51,24.49,12.67
723,Ajmera Realty,124.83,60.19,2456.6,28.91,20.56,1.95,0.52,12.01,5.92,11.5,9.51,15.2,16.47,39.76,30.57,12.66
724,Minda Corp,527.6,162.57,12613.83,11.56,43.47,5.17,2.95,12.11,6.09,14.37,13.48,19.33,12.44,14.72,127.58,12.66
725,Kirl. Ferrous,431.15,443.3,7110.6,12,20.11,1.96,-2.79,9.58,5.25,12.96,17.09,22.01,28.84,-7.21,23.28,12.64
726,Virtuoso Optoel.,368.6,311.58,1173.37,9.66,91.81,3.26,1.73,5.75,2.65,7.04,7.81,51.55,59.18,53.07,58.56,12.64
727,Dollar Industrie,337.39,279.11,1913.55,11.01,18.61,2.12,-1.19,10.56,6.32,10.3,13.8,7.81,11.71,-15.69,8.01,12.63
728,Whirlpool India,952.55,313.69,12085.18,6.91,34.59,2.96,4.79,9.26,5.58,7.39,8.65,8.52,5.73,7.22,-6.28,12.63
729,Le Travenues,166.7,32.36,7296.32,5.26,123.86,10.65,2.07,9.74,6.85,9.22,,34.05,52.29,59.84,31.79,12.62
730,Mufin Green,115.05,63.08,1993.03,69.2,94.55,6.24,4.09,7.89,2.08,7.69,9.94,119.5,148.95,23.09,39.73,12.61
731,INDIA SHELTE FIN,809.7,1019.41,8807.81,72.94,18.62,3.02,0.43,15.07,5.57,14.35,13.58,37.5,38.34,43.2,51.7,12.61
732,RACL Geartech,1222.1,747.31,1440.62,20.55,34.6,4.4,17.39,12.03,4.31,19.03,19.98,15.45,14.47,1.99,7.34,12.54
733,Lux Industries,1654.1,978.19,4974.16,6.67,43.89,2.77,-2.03,9.81,6.92,9.67,15.95,4.29,9.15,-21.59,-2,12.54
734,HLE Glascoat,321.85,182.33,2235.4,11.5,41.96,4.41,-4.31,10.67,4.96,13.51,18.91,16.36,19.23,-9.74,4.07,12.53
735,VST Till. Tract.,5180.2,2573.38,4482.3,13.14,35.66,4.23,-15.64,9.54,7.55,11.49,12.41,5.22,12.84,-2.28,30.41,12.52
736,Krsnaa Diagnost.,601.05,869.34,1949.73,30.19,24.26,2.09,6.35,9.29,6.46,8.57,,14.44,21.41,3.82,22.05,12.52
737,Borosil,244.43,128.95,2922.95,14.86,37.37,3.44,-3.4,9.32,5.85,8.66,8.97,9.61,11.61,-10.99,9.41,12.48
738,Asahi India Glas,834.05,206.68,21262.2,17.19,67.8,5.75,282.5,13.61,5.5,15.52,15.58,13.16,11.69,0.24,17.52,12.45
739,Mold-Tek Pack.,584.4,407.99,1941.9,19.1,28.6,2.91,-16.73,9.81,6.88,12.2,14.02,7.36,12.3,-1.71,8.41,12.41
740,Cyient,873.05,808.44,9701.87,12.37,20.31,1.71,-4.7,8.69,6.48,12.86,14.1,6.51,11.96,-4.32,5.6,12.4
741,Sai Silks,105.44,107.59,1617.09,15.78,13.28,1.36,0.95,7.78,5.2,13.04,12.91,8.99,4.46,13.95,15.17,12.37
742,Greenply Industr,239.32,121.28,2989.16,7.7,40.26,3.53,-35.95,12.03,5.06,11.44,13.27,16.76,11.86,-1.12,2.28,12.36
743,India Glycols,963.25,649.76,6456.35,15.34,23.87,2.7,1.81,11.06,4.04,8.82,9.87,9.52,6.62,13.18,12.84,12.35
744,Uniparts India,502.6,358.16,2268.89,18.59,17.12,2.47,-0.87,9.99,7.57,16.81,18.76,-7.75,1.22,-19.63,8.82,12.35
745,Hind.Oil Explor.,149.47,256.66,1976.64,16.97,26.62,1.45,0.68,11.8,7.52,17.3,13.77,39.29,15.81,39.41,6.66,12.33
746,Brightcom Group,9.32,92.02,1880.7,25.09,2.15,0.2,-0.27,8.62,7.65,12.71,14.31,0.84,13.84,-8.01,10.04,12.32
747,Sandhar Tech,471.25,484.32,2836.49,9.05,16.01,2.31,0.46,12.75,5.28,10.85,9.49,18.68,14.86,34.8,19.68,12.32
748,John Cockerill,5136.7,266.63,2536.41,6.41,124.58,12.07,3.95,9.9,3.22,5.95,1.72,-2.24,-0.76,31.52,-3.59,12.25
749,Azad Engineering,2090.2,672.21,13498.88,36.85,109.69,9.12,2.35,8.58,6.68,9.18,10.48,32.55,29.96,46.77,33.22,12.23
750,ERIS Lifescience,1373.5,693.2,19028.87,35.7,42.9,6.05,-8.68,12.88,5.54,15.6,18.16,29.03,21.92,-4.94,3.71,12.22
751,SMS Pharma.,396.7,130.21,3715.18,19.22,42.55,4.89,265.94,11,6.07,7.39,10,14.62,13.7,0.16,15.88,12.19
752,Harsha Engg Intl,381.6,153.76,3474.24,13.2,28.09,2.64,5.67,8.75,6.53,10.79,11.87,2.13,9.71,4.95,36.87,12.14
753,360 ONE,1039.6,685.89,42238.45,62.06,34.73,4.29,1.53,14.39,5.18,18.25,18.86,28.48,21.4,22.73,26.8,12.13
754,Bajel Projects,181.56,93.57,2100.59,3.18,132.2,2.98,,2.5,0.9,,,,,,,12.11
755,Antony Waste han,504.75,406.43,1432.78,19.75,22.12,2.07,22.8,11.34,5.34,14.08,14.91,12.92,15.69,0.97,14.98,12.1
756,Deep Industries,495.6,,3171.84,40.78,13.69,1.64,0.31,12.94,10.37,9.79,9.32,21.45,17.08,43.7,46.38,12.06
757,Shyam Metalics,820.7,1101.26,22908.35,12.16,23.62,2.08,-1.23,8.99,5.92,11.06,16.16,13.35,28.17,-19.26,21.75,12.05
758,Fractal Analyt.,947.45,,16292.83,11.58,77.79,,1.64,11.25,6.9,-1.82,-3.5,28.76,,47.31,,12.05
759,Sportking India,137.12,146.71,1742.41,11.05,14.16,1.65,-0.4,12.35,5.79,13.28,24.99,5.43,13.26,-35.79,54.36,12.04
760,Centum Electron,2803.9,,4133.22,9.27,74.3,10.22,,-3.14,-1.21,-0.39,1.89,14,5.52,,,12.03
761,Apeejay Surrend.,119.04,68.39,2540.01,33.12,29.9,1.95,0.43,6.87,5.49,7.53,2.95,35.48,7.85,70.13,28.28,11.99
762,Huhtamaki India,177.24,148.51,1338.55,7.76,12.01,1.03,0.36,8.96,5.66,8.79,7.12,-6.1,0.05,33.74,3.51,11.98
763,Star Health Insu,512.65,146.16,30164.51,3.42,67.61,4.05,1.8,9.37,3.27,11.8,-0.15,14.95,26.42,37.62,18.65,11.98
764,Leela Palaces Hotels,429.05,439.5,14328.46,47.62,40.44,2.33,,13.14,0.62,,,,,,,11.98
765,Marathon Nextgen,475.8,371.08,3207.87,26.22,15.06,1.46,0.27,13.16,6.78,16.1,12.44,23.75,19.19,55.28,43.07,11.95
766,Moschip Tech.,195.91,46.58,3798.04,11.1,92.41,10.28,1.27,11.17,8.08,8.53,6.71,46.78,36.28,72.95,25.89,11.93
