S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
474,Sona BLW Precis.,564.85,304.12,35125.02,25.06,53.85,6.15,2.91,14.37,11.22,17.2,17.78,18.51,27.85,18.5,31.47,17.82
475,Tega Inds.,1680.1,644.59,12622.2,18.86,62.52,8.55,3.18,15.47,10.07,17.47,18.5,19.85,19.06,19.65,24.79,17.8
476,Route Mobile,497.6,1446.06,3135.03,11.19,10.16,1.24,0.39,14.48,9.55,16.95,17.27,31.72,36.77,25.92,36.2,17.74
477,M R P L,186.38,120.71,32664.94,7.03,16.97,2.3,-1.65,14.17,4.88,14.83,21.57,-6.66,22.64,-10.28,35.33,17.69
478,Finolex Cables,972.7,829.88,14876.41,10.23,21.84,2.61,4.04,13.44,11.78,13.25,13.96,12.18,13.08,5.4,12.41,17.67
479,Voltas,1464,370.38,48441.53,4.48,93.43,7.61,5.18,13.47,6.56,7.67,8.67,24.77,15.01,18.05,8.6,17.64
480,Kennametal India,2481.4,754.69,5453.68,15.03,48.91,6.8,-8.96,12.91,10.09,13.14,13.91,5.71,12.78,-5.46,21.55,17.55
481,Dr Agarwal's Eye,5004.5,2723.67,2418.59,31.77,34.63,7.69,1.11,29.5,9.75,33.19,29.85,25.44,17.68,31.22,32.05,17.53
482,GRP,1913.4,681.39,1020.48,11.64,40.51,5.63,0.58,17.44,8.28,14.49,10.29,12.32,9.56,70.36,61.21,17.52
483,KPI Green Energy,448.9,852.69,8858.64,33.55,20.67,3.34,0.22,19.73,9.05,24.9,25.06,96.15,96.58,95.04,118.33,17.5
484,EPL Ltd,225.84,147.91,7232.48,20.5,17.52,2.76,0.92,16.27,9.49,13.66,13.7,7.07,8.82,19.01,11.09,17.48
485,ACC,1412.7,2004.25,26528.71,12.77,10.54,1.33,1.59,13.23,9.46,11.51,12.19,10.45,6.81,6.62,11.16,17.44
486,Aarti Pharma,692.95,495.71,6282.13,23.07,29.1,3.07,0.95,14.54,9.93,13.64,14.12,20.8,,30.62,,17.44
487,Insecticid.India,699.65,562.2,2035.83,11.09,14.38,1.69,1.53,13.53,7.84,10.52,11.39,9.97,7.97,9.38,10.22,17.43
488,KMC Speciality,88.65,40.9,1445.88,27.23,39.47,7.93,-11.85,13.91,7.79,20.54,22.35,19.4,19.21,-3.33,12.78,17.37
489,Foseco India,4710.3,3115.01,3550.28,19.26,40.87,3.43,,12.59,9.71,,,,,,,17.36
490,Time Technoplast,184.11,155.8,9088.32,14.66,20.36,2.99,0.75,14.22,9.25,12.43,10.75,14.35,8.81,27.3,18.02,17.35
491,Rategain Travel,589.85,413.03,6969.99,18.34,35.16,3.83,0.17,13.27,11.49,12.7,10.06,43.21,21.98,211.91,61.81,17.3
492,Lincoln Pharma.,605.55,795,1212.9,15.27,13.81,1.69,2.45,12.82,10.82,14.92,15.79,9.7,10.03,5.64,9.5,17.28
493,Suraj Estate,237.02,725.72,1132.32,33.36,11.58,1.18,0.21,13.98,6.53,18.78,20.69,26.27,44.58,55.48,133.42,17.27
494,Endurance Tech.,2318.6,1144.53,32614.09,13.51,35.23,5.21,1.89,14.63,9.21,13.33,13.58,15.26,10.83,18.64,7.19,17.26
495,V-Guard Industri,328.85,124.26,14364.29,7.21,56.23,6.92,14.02,13.58,8.63,13.15,14.63,15.15,16.42,4.01,6.61,17.23
496,Saregama India,346.75,315.01,6685.67,31.57,34.59,4.03,4.42,12.51,9.25,13.05,14.51,26.68,17.57,7.83,34.14,17.2
497,Balmer Law. Inv.,72.3,93.1,1604.86,13.17,9.3,1.18,0.37,13.15,8.51,12.08,10.35,7.07,10.1,25.39,10.08,17.19
498,Nava,656.35,375.95,18574.79,41.47,20.75,2.29,0.86,15.03,13.7,17.93,15.73,5.97,7.62,24.18,18.68,17.17
499,Sundram Fasten.,801.55,305.72,16842.84,15.74,29.87,4.16,5.07,14.93,10.32,16.07,16.5,6.7,9.85,5.89,10.69,17.14
500,Kajaria Ceramics,1211.15,298.21,19290.26,15.8,44.62,6.58,-6.09,11.22,8.4,14.48,15.75,7.75,10.54,-7.33,3.31,17.13
501,Cupid,113.09,6.99,15206.77,37.1,181.99,39.82,5.06,12.89,11.99,15.85,16.31,11.36,2.7,36,0.89,17.1
502,Varroc Engineer,512.25,146.84,7826.48,9.61,31.48,4.65,1.12,7.37,2.79,-4.7,-20.09,11.74,-6.02,28.09,297.61,17.06
503,Pitti Engg.,913.35,661.98,3439.09,16.7,27.01,3.66,0.81,17.82,7.2,19.35,18.59,21.35,26.56,33.26,48.2,17.05
504,Novartis India,962,386.27,2375.25,28.01,24.43,3.06,0.7,13.18,10.77,12.72,9.49,-3.78,-4.06,35.02,58.46,17
505,SBC Exports,33.32,9.83,1586.67,8.96,52.8,22.49,1.01,24.45,5.35,23.72,20.23,13.2,,52.2,,16.98
506,Shaily Engineer.,2503.1,261.01,11503.02,26.63,80.91,20.37,3.07,15.28,8.73,10.88,11.39,9.26,17.04,26.37,24.59,16.97
507,Eveready Inds.,320.45,78.01,2329.26,11.31,30.82,4.93,1.44,19.48,8.05,16.38,30.87,3.67,1.94,21.41,10.47,16.96
508,Windlas Biotech,860.05,715.57,1815.24,12.09,27.2,3.39,1.6,12.76,8.8,12.37,12.78,17.71,18.24,16.99,30.32,16.96
509,Arvind Fashions.,449.75,,6009.7,13.24,,6.05,,-3.63,0.89,3.11,-18.87,14.77,5.04,23.17,13.81,16.93
510,ADF Foods,260.15,135.09,2858.1,18.75,33.53,5.4,3.07,13.98,11.18,14.91,15.77,11.86,15.63,10.93,8.63,16.91
511,S P I C,68.94,232.4,1403.89,9.32,6.97,1.08,-5.32,13.85,7.78,20.18,20.68,18.07,8.22,-1.31,18.5,16.9
512,Titan Biotech,481.7,148.85,1990.31,17.38,73.17,11.95,-318.13,15.01,12.98,19.61,24.96,8.19,14.52,-0.23,26.47,16.9
513,Pondy Oxides,1207.1,391.01,3683.02,7.11,31.03,5.3,2.95,13.66,10.83,15.2,15.74,11.71,10.7,10.52,31.37,16.88
514,Prem. Explosives,516.5,151.33,2776.77,13.05,59.21,10.07,0.82,12.25,5.86,10.06,6.69,27.98,21.68,71.91,37.61,16.88
515,V2 Retail,203.06,47.18,7404.33,14.6,56.99,19.14,0.56,23.28,5.51,10.56,4.58,44.14,21.86,100.88,84.15,16.87
516,Ramky Infra,502,706.4,3473.73,12.92,15.54,1.69,0.15,10.87,4.97,13.76,12.77,11.91,8.07,103.87,24.5,16.85
517,Affle 3i,1406.7,1029.59,19805.83,22.53,45.18,6.08,2.12,14.03,11.09,15.33,17.95,27.96,46.68,21.31,42.26,16.82
518,InfoBeans Tech.,168.35,125.96,1632.31,21.84,21.32,4.44,-1.98,12.37,9.84,11.51,15.55,13.3,20.32,-10.77,13.23,16.81
519,Steel Str. Wheel,207.89,228.1,3267.62,10.04,16.39,2,20.23,14.54,6.37,16.71,16.53,7.55,23.15,0.81,55.22,16.76
520,Intellect Design,688.7,509.42,9634.54,20.49,25.53,3.25,-32.32,12.73,9.26,13.56,15.87,10,13.17,-0.79,129.24,16.76
521,H.G. Infra Engg.,603.1,1509.58,3930.47,19.6,10.3,1.27,1.14,18.28,7.01,23.04,24.33,10.46,17.93,9.05,24.23,16.76
522,Amara Raja Ener.,880.2,816.99,16109.89,11.55,21.33,2.07,1.08,12.34,9.28,13.53,13.61,12.57,12.65,19.8,6.14,16.75
523,Chamanlal Setia,265.26,352.24,1319.02,10.02,13.05,1.74,0.79,14.19,10.46,17.72,18.67,17.05,13.39,16.47,14.42,16.71
524,Balkrishna Inds,2225.4,1513.13,43020.81,21.37,32.79,4.12,13.61,15.78,10.36,15.26,17.29,7.99,16.77,2.41,12.99,16.67
525,Mah. Seamless,642.35,707.05,8606.95,14.93,10.24,1.31,2.55,12.9,11.43,15.94,15.01,7.76,14.78,4.01,36.46,16.63
